Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca10143\tags\0.7.2\production_files\400631_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       06.12.22
Time:       14:02
Revision:   26970
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP14","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","109.3470","53.8574","180","1.5mm circular SMD testpad"
"TP17","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","101.6564","15.7988","270","1.5mm circular SMD testpad"
"TP6","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","62.7578","24.1442","0","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","57.6580","16.8402","90","1.5mm circular SMD testpad"
"TP4","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","68.7578","24.1442","0","1.5mm circular SMD testpad"
"TP3","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","69.2658","14.5542","90","1.5mm circular SMD testpad"
"TP2","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","65.7578","24.1442","0","1.5mm circular SMD testpad"
"TP1","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","54.0512","16.8402","90","1.5mm circular SMD testpad"
"TP12","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","1.3208","48.9230","90","1.5mm circular SMD testpad"
"TP11","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","1.3462","45.9232","90","1.5mm circular SMD testpad"
"TP10","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","31.7500","35.4076","90","1.5mm circular SMD testpad"
"TP9","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.6014","35.4076","90","1.5mm circular SMD testpad"
"LED2","L0603G","TopLayer","LED_0603_G","125.8072","54.5161","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","125.8072","57.2661","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"P28","Pin List 1x3","TopLayer","LIST_1x3-NC","30.4800","25.4000","90","Pin List 1x3, 2.54mm (100mil)"
"P26","Socket 1x13","BottomLayer","LIST_1x13_SMD-NC","34.0360","45.7200","0","Socket 1x13, 2.54mm (100mil), SMD"
"R26","0R","TopLayer","RESC0603X03L_C","112.7950","14.8250","90","Resistor, ±5%, 0.05W"
"R30","0R","TopLayer","RESC0603X03L_C","115.2750","14.8250","90","Resistor, ±5%, 0.05W"
"R29","0R","TopLayer","RESC0603X03L_C","114.0350","14.8250","90","Resistor, ±5%, 0.05W"
"R28","0R","TopLayer","RESC0603X03L_C","113.4150","14.8250","90","Resistor, ±5%, 0.05W"
"R27","0R","TopLayer","RESC0603X03L_C","112.1750","14.8250","90","Resistor, ±5%, 0.05W"
"R31","0R","TopLayer","RESC0603X03L_C","114.6550","14.8250","90","Resistor, ±5%, 0.05W"
"SB20","Solderbridge","TopLayer","Solderbridge","106.7750","20.7750","180","Solderbridge"
"SB24","Solderbridge","TopLayer","Solderbridge","105.5500","22.2750","180","Solderbridge"
"SB23","Solderbridge","TopLayer","Solderbridge","107.3750","22.2750","180","Solderbridge"
"SB22","Solderbridge","TopLayer","Solderbridge","106.1500","23.7750","180","Solderbridge"
"SB21","Solderbridge","TopLayer","Solderbridge","107.9750","23.7750","180","Solderbridge"
"SB25","Solderbridge","TopLayer","Solderbridge","104.9500","20.7750","180","Solderbridge"
"J6","HDR-2, 1mm","TopLayer","SM02B-SRSS-TB","3.1679","12.7762","270","1.0mm pitch connector side entry SMD"
"C53","1.0µF","TopLayer","CAPC1608X06L","9.9722","29.0576","180","Capacitor, X7R, ±10%"
"TP19","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","62.4840","27.9400","90","1.0mm circular SMD testpad"
"R57","1M0","TopLayer","RESC0603X03L_C","64.5160","27.6606","270","Resistor, ±1%, 0.05W"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","96.4438","59.1058","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"C44","300pF","TopLayer","CAPC1005X04L","104.0557","16.8748","180","Capacitor, C0G, ±5%, 50V"
"C43","300pF","TopLayer","CAPC1005X04L","102.0237","16.8748","180","Capacitor, C0G, ±5%, 50V"
"P20","Pin List 1x13","TopLayer","LIST_1x13_SMD","34.0360","45.7200","0","Pin List 1x13, 2.54mm (100mil), SMD"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","59.6900","43.1800","90","CBL PLUG-OF-NAILS 10-PIN"
"R50","47k","TopLayer","RESC0603X03L_C","93.8530","3.7338","90","Resistor, ±1%, 0.05W"
"Fid1","Fiducial mark","TopLayer","Fiducial","128.9500","61.2250","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","13.7428","2.8448","0","Fiducial Mark"
"R6","100k","TopLayer","RESC0603X03L_C","57.2008","38.9382","270","Resistor, ±1%, 0.05W"
"J2","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","4.8944","31.7500","0","MicroUSB-B-SMT"
"C54","100nF","TopLayer","CAPC0603X03L_C","9.5912","30.0736","180","Capacitor, X5R, ±10%"
"D2","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","8.8800","32.0802","270","Ultra low capacitance double rail-to-rail ESD protection diode"
"C56","100nF","TopLayer","CAPC0603X03L_C","3.4504","26.1874","180","Capacitor, X5R, ±10%"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0200","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6200","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6200","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8800","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","0","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0200","270","Socket 2x3, 2.54mm (100mil), SMD"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","58.7756","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","0","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","0","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"R56","10k","TopLayer","RESC0603X03L_C","3.4504","26.8986","180","Resistor, ±1%, 0.05W"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P24","Socket 2x10","TopLayer","SOCKET_2x10_SMD-2.54mm","95.2500","41.9100","270","Socket 2x10, 2.54mm (100mil), SMD"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","79.3750","36.1950","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"C41","100nF","TopLayer","CAPC0603X03L_C","68.2837","16.8148","0","Capacitor, X5R, ±10%"
"C42","100nF","TopLayer","CAPC0603X03L_C","61.2394","16.8148","0","Capacitor, X5R, ±10%"
"C45","100nF","TopLayer","CAPC0603X03L_C","75.2771","16.7640","0","Capacitor, X5R, ±10%"
"C49","10nF","TopLayer","CAPC0603X03L_C","7.5438","36.8808","0","Capacitor, X7R, ±10%"
"C47","10nF","TopLayer","CAPC0603X03L_C","113.9628","56.1586","90","Capacitor, X7R, ±10%"
"C51","1.0µF","TopLayer","CAPC1608X06L","106.3352","52.2216","90","Capacitor, X7R, ±10%"
"C52","100nF","TopLayer","CAPC0603X03L_C","107.3258","51.9676","90","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","103.8541","60.1445","270","Capacitor, X5R, ±10%"
"D1","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","109.5309","53.1602","180","Ultra low capacitance double rail-to-rail ESD protection diode"
"FB6","120R/0.55A","TopLayer","INDC1005X04L","3.6214","25.3170","0","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB4","120R/0.55A","TopLayer","INDC1005X04L","7.3660","28.8976","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB2","120R/0.55A","TopLayer","INDC1005X04L","7.2644","38.2016","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB1","120R/0.55A","TopLayer","INDC1005X04L","114.8518","56.1586","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB3","120R/0.55A","TopLayer","INDC1005X04L","105.3446","51.9422","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB5","120R/0.55A","TopLayer","INDC1005X04L","103.0159","60.1445","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J3","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","109.2289","58.6056","270","MicroUSB-B-SMT"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","102.5236","8.1782","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"Q5","PMCPB5530","TopLayer","PMCPB5530X","15.1130","38.7350","0","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R52","150k","TopLayer","RESC0603X03L_C","14.6304","36.9316","0","Resistor, ±1%, 0.05W"
"R51","1M0","TopLayer","RESC0603X03L_C","17.1196","38.6842","90","Resistor, ±1%, 0.05W"
"R43","0R","TopLayer","RESC0603X03L_C","102.5223","17.8482","90","Resistor, ±5%, 0.05W"
"R46","0R","TopLayer","RESC0603X03L_C","103.5317","17.8482","90","Resistor, ±5%, 0.05W"
"R42","N.C.","TopLayer","RESC0603X03L_C_NC","101.6936","18.1262","0","Not mounted"
"R45","N.C.","TopLayer","RESC0603X03L_C_NC","104.3606","18.1262","180","Not mounted"
"R47","100k","TopLayer","RESC0603X03L_C","77.3938","9.9822","90","Resistor, ±1%, 0.05W"
"R2","330R","TopLayer","RESC0603X03L_C","128.0935","57.2661","0","Resistor, ±1%, 0.05W"
"R3","330R","TopLayer","RESC0603X03L_C","128.0935","54.5161","0","Resistor, ±1%, 0.05W"
"R55","10k","TopLayer","RESC0603X03L_C","104.5399","60.1445","270","Resistor, ±1%, 0.05W"
"SB31","Solderbridge","TopLayer","Solderbridge","95.1484","3.7592","270","Solderbridge"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","73.6092","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","110.5808","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","120.8424","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW6","CAS-220TA","TopLayer","CAS-220TA","89.8290","5.2900","0","Slide Switch DPDT J Hook"
"TP18","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","104.6564","15.7988","270","1.5mm circular SMD testpad"
"TP31","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","5.2832","12.9315","90","1.5mm circular SMD testpad"
"U3","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","68.7663","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","61.7474","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","75.7851","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"SB32","Solderbridge","TopLayer","Solderbridge","67.2592","27.4574","90","Solderbridge"
"SB45","Solderbridge","TopLayer","Solderbridge","78.2828","21.0312","0","Solderbridge"
"SB43","Solderbridge","TopLayer","Solderbridge","78.2828","17.1196","0","Solderbridge"
"SB44","Solderbridge","TopLayer","Solderbridge","78.2828","19.7273","0","Solderbridge"
"SB46","Solderbridge","TopLayer","Solderbridge","76.5302","15.9004","180","Solderbridge"
"SB47","Solderbridge","TopLayer","Solderbridge","8.6106","61.4078","180","Solderbridge"
"TP15","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","106.3470","53.8574","180","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","103.3470","53.8574","180","1.5mm circular SMD testpad"
"TP42","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","92.6564","15.7988","180","1.5mm circular SMD testpad"
"TP43","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","92.6564","18.7988","180","1.5mm circular SMD testpad"
"TP44","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","95.6564","15.7988","180","1.5mm circular SMD testpad"
"TP45","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","95.6564","18.7988","180","1.5mm circular SMD testpad"
"TP46","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","98.6564","15.7988","180","1.5mm circular SMD testpad"
"TP47","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","98.6564","18.7988","180","1.5mm circular SMD testpad"
