Altium Designer Pick and Place Locations
C:\Applications\hardware\pca10095\trunk\production_files\400432_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       25.05.21
Time:       11:11
Revision:   20743
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Fid1","Fiducial mark","TopLayer","Fiducial","129.4708","59.9440","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","13.7428","2.8448","0","Fiducial Mark"
"R6","100k","TopLayer","RESC0603X03L_C","57.2008","38.9382","270","Resistor, ±1%, 0.05W"
"J2","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","4.8944","31.7500","0","MicroUSB-B-SMT"
"C54","100nF","TopLayer","CAPC0603X03L_C","9.5912","30.0736","180","Capacitor, X5R, ±10%"
"D2","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","8.8800","32.0802","270","Ultra low capacitance double rail-to-rail ESD protection diode"
"C56","100nF","TopLayer","CAPC0603X03L_C","3.4504","26.1874","180","Capacitor, X5R, ±10%"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0200","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6200","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6200","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8800","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","0","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0200","270","Socket 2x3, 2.54mm (100mil), SMD"
"SW8","MK-22D14-G2","TopLayer","MK-22D14-G2","5.5276","5.3594","0","Slide Switch DPDT"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","58.7756","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","19.2786","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","0","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","0","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"R56","10k","TopLayer","RESC0603X03L_C","3.4504","26.8986","180","Resistor, ±1%, 0.05W"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P24","Socket 2x10","TopLayer","SOCKET_2x10_SMD-2.54mm","95.2500","41.9100","270","Socket 2x10, 2.54mm (100mil), SMD"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","79.3750","36.1950","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"R68","1M0","TopLayer","RESC0603X03L_C","14.5542","14.2494","0","Resistor, ±1%, 0.05W"
"U13","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","20.4978","15.9766","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U17","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","20.4978","14.5669","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U18","74LVC1G11","TopLayer","SOT65P210X100-6N","18.8214","10.4140","270","Single 3-input AND gate"
"U23","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","20.4978","13.1572","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"C65","100nF","TopLayer","CAPC0603X03L_C","27.5336","28.1940","0","Capacitor, X5R, ±10%"
"R69","1M0","TopLayer","RESC0603X03L_C","28.4480","16.6116","0","Resistor, ±1%, 0.05W"
"R70","10M","TopLayer","RESC0603X03L_C","32.5882","38.4556","90","Resistor, ±1%, 0.05W"
"SW9","JS203011JCQN","TopLayer","Switch-Slide-J-Lead-DP3T-13x3.5mm","23.7490","38.5064","0","Slide Switch DP3T 300mA 6V"
"U14","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","23.3172","17.8816","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U12","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","25.5778","17.8816","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"C46","100nF","TopLayer","CAPC0603X03L_C","111.9200","19.6342","90","Capacitor, X5R, ±10%"
"C41","100nF","TopLayer","CAPC0603X03L_C","68.2837","16.8148","0","Capacitor, X5R, ±10%"
"C42","100nF","TopLayer","CAPC0603X03L_C","61.2394","16.8148","0","Capacitor, X5R, ±10%"
"C45","100nF","TopLayer","CAPC0603X03L_C","75.2771","16.7640","0","Capacitor, X5R, ±10%"
"C49","10nF","TopLayer","CAPC0603X03L_C","7.5438","36.8808","0","Capacitor, X7R, ±10%"
"C47","10nF","TopLayer","CAPC0603X03L_C","113.9628","56.1586","90","Capacitor, X7R, ±10%"
"C51","1.0µF","TopLayer","CAPC1608X06L","106.3352","52.2216","90","Capacitor, X7R, ±10%"
"C52","100nF","TopLayer","CAPC0603X03L_C","107.3258","51.9676","90","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","103.8541","60.1445","270","Capacitor, X5R, ±10%"
"D1","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","109.5309","53.1602","180","Ultra low capacitance double rail-to-rail ESD protection diode"
"FB6","120R/0.55A","TopLayer","INDC1005X04L","3.6214","25.3170","0","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB4","120R/0.55A","TopLayer","INDC1005X04L","7.3660","28.8976","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB2","120R/0.55A","TopLayer","INDC1005X04L","7.2644","38.2016","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB1","120R/0.55A","TopLayer","INDC1005X04L","114.8518","56.1586","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB3","120R/0.55A","TopLayer","INDC1005X04L","105.3446","51.9422","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB5","120R/0.55A","TopLayer","INDC1005X04L","103.0159","60.1445","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J3","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","109.2289","58.6056","270","MicroUSB-B-SMT"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","102.5236","8.1782","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"P22","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","43.0000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Q5","PMCPB5530","TopLayer","PMCPB5530X","15.1130","38.7350","0","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R52","150k","TopLayer","RESC0603X03L_C","14.6304","36.9316","0","Resistor, ±1%, 0.05W"
"R51","1M0","TopLayer","RESC0603X03L_C","17.1196","38.6842","90","Resistor, ±1%, 0.05W"
"R43","0R","TopLayer","RESC0603X03L_C","102.0223","18.8482","90","Resistor, ±5%, 0.05W"
"R46","0R","TopLayer","RESC0603X03L_C","103.0317","18.8482","90","Resistor, ±5%, 0.05W"
"R42","N.C.","TopLayer","RESC0603X03L_C_NC","101.1936","19.1262","0","Not mounted"
"R45","N.C.","TopLayer","RESC0603X03L_C_NC","103.8606","19.1262","180","Not mounted"
"R47","100k","TopLayer","RESC0603X03L_C","77.3938","9.9822","90","Resistor, ±1%, 0.05W"
"R2","220R","TopLayer","RESC0603X03L_C","126.8435","57.0161","0","Resistor, ±1%, 0.05W"
"R3","220R","TopLayer","RESC0603X03L_C","131.9235","57.0161","0","Resistor, ±1%, 0.05W"
"R4","220R","TopLayer","RESC0603X03L_C","126.8435","53.5617","0","Resistor, ±1%, 0.05W"
"R5","220R","TopLayer","RESC0603X03L_C","131.9235","53.5617","0","Resistor, ±1%, 0.05W"
"R55","10k","TopLayer","RESC0603X03L_C","104.5399","60.1445","270","Resistor, ±1%, 0.05W"
"R65","820k","TopLayer","RESC0603X03L_C","10.5378","13.3858","270","Resistor, ±1%, 0.05W"
"R66","470k","TopLayer","RESC0603X03L_C","9.9790","13.3858","90","Resistor, ±1%, 0.05W"
"SB31","Solderbridge","TopLayer","Solderbridge","95.1484","3.7592","270","Solderbridge"
"SB37","Solderbridge","TopLayer","Solderbridge","30.1442","15.9924","180","Solderbridge"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","73.6092","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","110.5808","13.8298","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","120.8424","13.8298","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","110.5808","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","120.8424","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW6","CAS-220TA","TopLayer","CAS-220TA","89.8290","5.2900","0","Slide Switch DPDT J Hook"
"TP18","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","104.6564","15.7988","270","1.5mm circular SMD testpad"
"TP31","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","5.2832","12.9315","90","1.5mm circular SMD testpad"
"U7","MX25R6435F","TopLayer","SON127P600X80_HS-9N","116.0602","21.7678","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"U3","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","68.7663","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","61.7474","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","75.7851","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U19","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","30.1188","17.1862","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U9","TS27L2IPT","TopLayer","TSOP65P640X120-8N","24.9428","25.7810","0","Precision very low power CMOS dual operational amplifier"
"SB34","Solderbridge","TopLayer","Solderbridge","16.7157","14.9860","180","Solderbridge"
"SB32","Solderbridge","TopLayer","Solderbridge","67.2592","27.4574","90","Solderbridge"
"SB35","Solderbridge","TopLayer","Solderbridge","16.7132","13.7160","180","Solderbridge"
"SB36","Solderbridge","TopLayer","Solderbridge","16.7157","12.4460","180","Solderbridge"
"C68","100nF","TopLayer","CAPC0603X03L_C","19.1008","8.4074","180","Capacitor, X5R, ±10%"
"C69","100nF","TopLayer","CAPC0603X03L_C","24.1808","12.4206","180","Capacitor, X5R, ±10%"
"SB45","Solderbridge","TopLayer","Solderbridge","78.2828","21.0312","0","Solderbridge"
"SB43","Solderbridge","TopLayer","Solderbridge","78.2828","17.1196","0","Solderbridge"
"SB44","Solderbridge","TopLayer","Solderbridge","78.2828","19.7273","0","Solderbridge"
"SB46","Solderbridge","TopLayer","Solderbridge","76.5302","15.9004","180","Solderbridge"
"SB47","Solderbridge","TopLayer","Solderbridge","8.6106","62.4078","180","Solderbridge"
"SW10","CAS-220TA","TopLayer","CAS-220TA","20.6248","4.0640","180","Slide Switch DPDT J Hook"
"R64","N.C.","TopLayer","RESC1005X04L_NC","16.3320","43.0254","90","Not mounted"
"U16","74LVC1G08","TopLayer","SOT65P210X100-5N","26.4160","14.6050","180","Single 2-Input AND Gate"
"C70","100nF","TopLayer","CAPC0603X03L_C","25.7556","12.8778","180","Capacitor, X5R, ±10%"
"R73","10M","TopLayer","RESC0603X03L_C","25.3492","4.6228","0","Resistor, ±1%, 0.05W"
"D4","MBRM110E","TopLayer","DO-216AA","19.5072","26.0934","270","Diode Schottky Vf=0.455V @ 100mA, Vr=10V, If=1000mA, Ir=1µA @ 10V"
"Q6","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","36.6268","16.1290","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R61","10M","TopLayer","RESC0603X03L_C","35.8140","16.0528","90","Resistor, ±1%, 0.05W"
"R58","1k","TopLayer","RESC0603X03L_C","37.5920","16.1798","90","Resistor, ±1%, 0.05W"
"C64","470nF","TopLayer","CAPC0603X03L_C","15.4178","27.7114","180","Ceramic Capacitor X5R 0201, ±10% 16V"
"C60","10µF","TopLayer","CAPC1608X06L","8.8900","25.3746","270","Capacitor, X5R, ±20%, 25V"
"C58","15pF","TopLayer","CAPC0603X03L_C","6.4008","24.8666","270","Ceramic Capacitor C0G, NP0 0201, ±5% 25V"
"U10","XC9131","TopLayer","10-USPB_(2.9x2.6)","12.3444","26.2636","180","1A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"R62","30k","TopLayer","RESC0603X03L_C","7.8486","25.6794","270","Resistor, ±1%, 0.05W"
"R59","270k","TopLayer","RESC0603X03L_C","7.1120","24.8412","270","Resistor, ±1%, 0.05W"
"L7","2.2µH","TopLayer","TY-NR3015","16.1036","25.7048","270","Ferrite Inductor, Shielded, 1,5A, 72mOhm"
"C59","10µF","TopLayer","CAPC1608X06L","10.0838","25.3746","270","Capacitor, X5R, ±20%, 25V"
"C57","10µF","TopLayer","CAPC1608X06L","12.5984","23.5712","0","Capacitor, X5R, ±20%, 25V"
"SB18","Solderbridge","TopLayer","Solderbridge","110.7008","19.5834","90","Solderbridge"
"R44","10k","TopLayer","RESC0603X03L_C","89.8398","8.7630","270","Resistor, ±1%, 0.05W"
"TP22","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","117.3734","50.5968","180","1.5mm circular SMD testpad"
"TP32","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","5.2832","9.9314","180","1.5mm circular SMD testpad"
"TP24","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","5.8674","45.9232","180","1.5mm circular SMD testpad"
"TP34","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","28.7020","17.7800","0","1.0mm circular SMD testpad"
"TP25","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","5.8674","48.9230","180","1.5mm circular SMD testpad"
"TP33","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","31.4960","37.3380","0","1.0mm circular SMD testpad"
"TP26","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","5.2832","15.9316","180","1.5mm circular SMD testpad"
"TP38","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","107.4674","43.7134","180","1.5mm circular SMD testpad"
"TP27","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","16.4084","9.9314","180","1.5mm circular SMD testpad"
"TP37","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","72.2658","14.5542","180","1.5mm circular SMD testpad"
"TP36","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","69.2150","38.1000","0","1.0mm circular SMD testpad"
"TP28","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","11.5316","9.9314","180","1.5mm circular SMD testpad"
"TP29","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","22.3520","16.3830","0","1.0mm circular SMD testpad"
"TP15","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","106.3470","53.8574","180","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","103.3470","53.8574","180","1.5mm circular SMD testpad"
"SB59","Solderbridge","TopLayer","Solderbridge","84.7547","41.2750","180","Solderbridge"
"TP42","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","92.6564","15.7988","180","1.5mm circular SMD testpad"
"TP43","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","92.6564","18.7988","180","1.5mm circular SMD testpad"
"TP44","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","95.6564","15.7988","180","1.5mm circular SMD testpad"
"TP45","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","95.6564","18.7988","180","1.5mm circular SMD testpad"
"TP46","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","98.6564","15.7988","180","1.5mm circular SMD testpad"
"TP47","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","98.6564","18.7988","180","1.5mm circular SMD testpad"
